symptoms	sentences
diarrhea,heat	In response to this consultation, the doctor updated the summary recommendation: if you are not with him, because gastrointestinal inflammation is mostly light, but if there is a particular infection, the fever is higher or diarrhea is high, there is a risk of complications. If the specific situation is not clear, he should be advised to go to the hospital to carry out a blood routine, poo routine bathing blood, together with detailed consultations, abdominal consultations and further specific treatment.
diarrhea,heat,abdominal pain	Again, are there any abdominal pains, vomiting, diarrhea (how many times) and the maximum degree of fever?
abdominal pain	Is it the upper left tummy? The left side of the belly? Or the lower left tummy? What is the degree of pain?
disgusting	There's no nausea, no vomiting, is there?
loose stool	Nothing big, please don't worry. If there is a re-inflection today, you can add cylinprosat and observe that the symptoms will generally be alleviated very quickly.
disgusting,counter-current,abdominal pain	The stomach aches, anti-acids, and heart attack.
heat,abdominal pain	Do you have a fever abdominal pain?
gastrointestinal dysfunction	Gastrointestinal disorders are being considered. It's about diet.
black poo	The hemorrhage is black and black.
blood in stool	How often is it blood? Is it blood?
blood in stool	Blood is a drop or a piece of paper. It's not a lot mixed with blood, is it?
blood in stool,hemorrhoid	Well, that blood considers hemorrhage possible.
disgusting,abdominal distention,abdominal pain	There's nothing more uncomfortable than a lot of shit, abdominal pain, nausea and vomiting.
diarrhea	In this case, chronic diarrhea can be diagnosed, but the causes of diarrhea need to be identified. Chronic diarrhea can be caused by problems in the general gastrointestinal tract, pancreas, liver, thyroid, etc.
indigestion	How long has this been going on? The pickles aren't well digested.
loose stool	Pulled it a few times. Slurry?
difficult eating,indigestion	Don't eat anything that's not good for digestion. Just a little greasy.
diarrhea	Drink more water, and the diarrhea may have a little water shortage.
indigestion	This is an indigestion. Have you done any tests?
gastrointestinal dysfunction,indigestion	In general, bubbles and rareness are caused by intestinal disorders. It's a bad digestion, an intestine disorder. Use: Monochrome and bacterium have some effect, but you're in a longer situation, and it is recommended that an intestinal examination be done to exclude the possibility of intestinal intestine or colonies.
hemorrhoid	Any hemorrhoids?
hemorrhoid	Hemorrhaging doesn't hurt. Have you been tired lately?
diarrhea	How long has the baby been diarrhea? How many times a day does it take? Is the baby still breastfeeding?
loose stool	(you u u u up)
heat	I'm sorry, I don't know what you're talking about.
indigestion	It's important to prevent gastrointestinal tracts, colds, and intestinal inflammation. Indigestion is being considered.
dehydration	We have to prevent baby dehydration.
intestinal obstruction	If this is the case, it is recommended that the abdominal film be taken first to see if there is an infarction or, if so, the treatment is based on an infarction program.
bowel sound	The amount of medicine used is not too small. If you are still in hospital, your doctor can listen to the sound of the intestinal sound and consider the difficulty of excreta caused by motor disorders.
disgusting,counter-current,abdominal distention,abdominal pain	Any nausea, anti-acid, abdominal pain?
gastrointestinal dysfunction	Considering that you could be caused by an intestinal disorder.
gastrointestinal discomfort	If you have stomach inflammation, you can also cause diarrhea.
diarrhea,blood in stool	Do you have diarrhea, blood?
blood in stool	In addition to what the naked eye can see, there's something called invisible blood. The only way to find out is by testing.
gastrointestinal dysfunction	If cooled, it can also cause gastrointestinal dysfunction.
stomach ache	I'm sorry, I'm sorry.
helicobacter infection	It may be related to mild stomach inflammation or phantom rota infection.
helicobacter infection	Check the stomach mirror and phantom rotor infection.
helicobacter infection	Well, there is a need to consider addressing the problem of phantom spirally infection.
diarrhea	Are there any cases of diarrhea? Is it always vomiting? There's nothing more uncomfortable.
disgusting,abdominal distention,difficult eating,counter-current,hot heart	Pain is just a symptom. Sometimes nausea, vomiting, appetite, unwillingness to eat, anti-acid, burning hearts, bloated stomachs are all signs of lying down. It's all gastric inflammation.
abdominal distention,abdominal pain	Hello, there's no abdominal swelling.♪ That's what I'm talking about ♪
hemorrhoid	If blood is scarce, hemorrhage is generally considered.
hemorrhoid	Consider that hemorrhoids may be large, and if anal pains are severe, they may have anal fractures.
indigestion	Hello, consider indigestion.
abdominal pain	It's intestinal irritation. It's okay.
disgusting,counter-current	Is there saturation, anti-acid, nausea, etc.
abdominal pain	In the case of pain caused by stomach ailments, both lying flat and standing pressure can hurt. How long have you been in this situation? How often do you usually have upper abdominal pains?
diarrhea	Drink as much as you want. Now you're having a diarrhea.
helicobacter infection	They're all phantom snails. Combining works well.
abdominal pain	Do you have a stomachache?
gastrointestinal dysfunction	Indications of intestinal function are taken into account.
abdominal pain	There are too many abdominal pains.
abdominal pain	Minor abdominal pain takes into account the urinary system and gynecology.
diarrhea	Hello! Have you had a diarrhea?
heat	A fever?
abdominal pain	Does the stomach always hurt, and it's still short. Intermittent.
hematemesis	It was observed that if there was still vomiting blood or more, they would go to the hospital in time.
sore throat,gastrointestinal discomfort	Does it hurt in the throat? How long has it been? Are you sick of your stomach?
gastrointestinal discomfort	No stomach problems, no rubella.
heat,cough	Have you had a fever, coughing? Have you had any recent contact with Wuhan and the surrounding area? Have you ever had any contact with a patient with a cold?
disgusting,abdominal distention	Is there nausea, vomiting? Is there abdominal swelling? What color is the shit?
abdominal pain	Does the lower abdomen hurt or does it hurt? Is the pain right down or left or right? How's the urinal?
disgusting,counter-current,abdominal distention,hot heart	Is there nausea, vomiting, anti-acid, burning heart? Is there any abdominal swelling?
indigestion	This post is part of our special coverage Egypt Protests 2011.© Avoiding irritant foods such as acidic and over-salamiic foods and foods such as cold and immobilized foods.2nd floor. 2nd floor. 2nd floor. 2nd floor. The diet is regularly quantified, with more vitamin-rich foods and less pickled and roasted foods. This is the first time I've ever seen a woman in my life. Stimulative drinks such as cessation of smoking, alcohol, tea, coffee, etc. This post is part of our special coverage Egypt Protests 2011. Prudent use of medicines that damage the glucose membranes of the stomach, such as aspirin, acetaminophen, etc.
cough	Have you coughed? How low is the fever? General.
nasal congestion	Do you have a nasal snot?
disgusting	Or does it hurt? Do you want to vomit?
heat	I'm sorry, I'm sorry. I'm sorry.
abdominal distention	Hello. Have you had any abdominal symptoms before? Do you like eating and living well?
